"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 09- 03","41.1569","41.1379","41.2707","41.0456","","0.05%"
"2025- 09- 02","41.1380","41.1153","41.2853","40.9839","","0.06%"
"2025- 09- 01","41.1153","41.1025","41.2697","40.9235","","0.03%"
"2025- 08- 29","41.1025","41.0388","41.3634","40.9104","","0.16%"
"2025- 08- 28","41.0388","41.0379","41.1543","40.9403","","0.00%"
"2025- 08- 27","41.0379","41.0349","41.1576","40.9121","","0.01%"
"2025- 08- 26","41.0348","40.9891","41.1334","40.8913","","0.11%"
"2025- 08- 25","40.9902","40.9357","41.2505","40.7529","","0.13%"
"2025- 08- 22","40.9357","40.9343","41.1373","40.7506","","0.00%"
"2025- 08- 21","40.9340","40.9280","41.0336","40.8092","","0.02%"
"2025- 08- 20","40.9277","40.8934","40.9706","40.7595","","0.08%"
"2025- 08- 19","40.8934","40.8815","41.0080","40.7724","","0.03%"
"2025- 08- 18","40.8815","40.8550","41.0558","40.7421","","0.20%"
"2025- 08- 15","40.8000","40.8199","41.0056","40.6409","","-0.07%"
"2025- 08- 14","40.8305","40.7744","40.9206","40.6353","","0.14%"
"2025- 08- 13","40.7747","40.7269","40.9543","40.5490","","0.12%"
"2025- 08- 12","40.7265","40.7000","40.8755","40.5329","","0.44%"
"2025- 08- 11","40.5468","40.6783","40.9182","40.4935","","-0.26%"
"2025- 08- 08","40.6528","40.6410","40.8396","40.4773","","0.11%"
"2025- 08- 07","40.6077","40.6381","40.8061","40.4484","","-0.08%"
"2025- 08- 06","40.6383","40.6598","40.7626","40.5575","","-0.08%"
"2025- 08- 05","40.6701","40.6563","40.7858","40.4660","","0.03%"
"2025- 08- 04","40.6564","40.6393","40.8074","40.4843","","0.10%"
"2025- 08- 01","40.6170","40.6323","40.8251","40.4503","","-0.04%"
"2025- 07- 31","40.6332","40.5883","40.7340","40.4656","","0.11%"
"2025- 07- 30","40.5883","40.5824","40.7185","40.4389","","0.02%"
"2025- 07- 29","40.5813","40.5464","40.7140","40.3828","","0.07%"
"2025- 07- 28","40.5517","40.5535","40.8831","40.3992","","-0.03%"
"2025- 07- 25","40.5624","40.6644","40.7482","40.3482","","-0.25%"
"2025- 07- 24","40.6643","40.4476","40.9082","40.2778","","0.54%"
