"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 03- 12","1,493.00","1,477.24","1,495.88","1,474.73","","1.02%"
"2026- 03- 11","1,477.86","1,473.30","1,479.55","1,463.18","","0.30%"
"2026- 03- 10","1,473.38","1,462.68","1,479.75","1,461.61","","0.80%"
"2026- 03- 09","1,461.75","1,485.29","1,499.25","1,461.75","","-1.37%"
"2026- 03- 06","1,482.03","1,481.35","1,496.33","1,466.79","","0.06%"
"2026- 03- 05","1,481.15","1,462.76","1,489.92","1,455.50","","1.29%"
"2026- 03- 04","1,462.32","1,485.79","1,485.83","1,457.35","","-1.25%"
"2026- 03- 03","1,480.86","1,453.54","1,506.71","1,453.27","","1.87%"
"2026- 03- 02","1,453.65","1,442.60","1,462.37","1,439.96","","0.96%"
"2026- 02- 27","1,439.80","1,431.99","1,446.05","1,430.30","","0.53%"
"2026- 02- 26","1,432.14","1,427.88","1,438.25","1,418.83","","0.38%"
"2026- 02- 25","1,426.69","1,441.93","1,442.80","1,424.82","","-1.02%"
"2026- 02- 24","1,441.42","1,444.22","1,448.00","1,438.39","","-0.19%"
"2026- 02- 23","1,444.20","1,447.19","1,449.15","1,438.92","","-0.14%"
"2026- 02- 20","1,446.19","1,449.69","1,452.00","1,442.41","","-0.23%"
"2026- 02- 19","1,449.52","1,442.04","1,455.80","1,440.92","","0.49%"
"2026- 02- 18","1,442.48","1,446.03","1,449.02","1,440.49","","-0.15%"
"2026- 02- 17","1,444.61","1,442.37","1,448.71","1,440.21","","0.02%"
"2026- 02- 16","1,444.34","1,440.66","1,445.39","1,438.06","","0.26%"
"2026- 02- 13","1,440.56","1,440.35","1,449.39","1,439.38","","0.03%"
"2026- 02- 12","1,440.16","1,446.90","1,451.80","1,432.50","","-0.41%"
"2026- 02- 11","1,446.12","1,457.15","1,461.82","1,441.78","","-0.72%"
"2026- 02- 10","1,456.56","1,458.23","1,463.11","1,452.39","","-0.08%"
"2026- 02- 09","1,457.66","1,465.10","1,469.19","1,453.16","","-0.40%"
"2026- 02- 06","1,463.56","1,471.87","1,476.15","1,462.20","","-0.55%"
"2026- 02- 05","1,471.71","1,462.11","1,471.92","1,459.32","","0.66%"
"2026- 02- 04","1,462.12","1,449.53","1,462.17","1,447.39","","0.81%"
"2026- 02- 03","1,450.44","1,454.46","1,454.47","1,439.31","","-0.28%"
"2026- 02- 02","1,454.47","1,451.26","1,464.91","1,448.54","","0.25%"
"2026- 01- 30","1,450.80","1,431.70","1,451.86","1,429.83","","1.33%"
"2026- 01- 29","1,431.70","1,430.38","1,439.01","1,423.71","","0.09%"
"2026- 01- 28","1,430.38","1,437.77","1,438.89","1,419.95","","-0.11%"
"2026- 01- 27","1,431.95","1,445.86","1,453.56","1,431.95","","-0.96%"
"2026- 01- 26","1,445.86","1,445.50","1,449.90","1,433.07","","-0.03%"
"2026- 01- 23","1,446.36","1,464.61","1,469.93","1,443.87","","-1.21%"
"2026- 01- 22","1,464.13","1,465.50","1,471.58","1,462.83","","-0.07%"
"2026- 01- 21","1,465.12","1,479.18","1,481.55","1,463.92","","-1.06%"
"2026- 01- 20","1,480.86","1,473.44","1,481.21","1,472.47","","0.48%"
"2026- 01- 19","1,473.74","1,475.30","1,479.00","1,470.40","","0.01%"
"2026- 01- 16","1,473.58","1,470.11","1,476.03","1,468.95","","0.24%"
"2026- 01- 15","1,470.05","1,464.56","1,474.70","1,463.42","","0.49%"
"2026- 01- 14","1,462.95","1,474.65","1,479.70","1,460.93","","-0.83%"
"2026- 01- 13","1,475.13","1,467.29","1,479.45","1,466.01","","0.56%"
"2026- 01- 12","1,466.93","1,460.50","1,470.18","1,456.21","","0.66%"
"2026- 01- 09","1,457.24","1,451.13","1,461.70","1,450.69","","0.37%"
"2026- 01- 08","1,451.94","1,447.49","1,454.76","1,446.71","","0.22%"
"2026- 01- 07","1,448.71","1,446.33","1,450.50","1,445.01","","0.12%"
"2026- 01- 06","1,446.98","1,444.73","1,449.70","1,442.36","","0.14%"
"2026- 01- 05","1,444.95","1,442.95","1,450.03","1,442.45","","0.17%"
"2026- 01- 02","1,442.48","1,441.35","1,448.88","1,438.95","","-0.02%"
"2026- 01- 01","1,442.72","1,440.50","1,442.73","1,440.33","","0.15%"
"2025- 12- 31","1,440.62","1,441.24","1,447.92","1,438.77","","0.15%"
"2025- 12- 30","1,438.40","1,435.81","1,450.50","1,430.22","","0.19%"
"2025- 12- 29","1,435.70","1,442.95","1,442.97","1,429.00","","-0.46%"
"2025- 12- 26","1,442.37","1,446.54","1,454.50","1,429.51","","-0.26%"
"2025- 12- 25","1,446.12","1,446.63","1,448.68","1,444.38","","-0.02%"
"2025- 12- 24","1,446.48","1,479.67","1,482.79","1,443.72","","-2.27%"
"2025- 12- 23","1,480.08","1,478.38","1,484.71","1,477.87","","0.04%"
"2025- 12- 22","1,479.54","1,475.64","1,482.30","1,475.62","","0.26%"
"2025- 12- 19","1,475.72","1,475.62","1,480.63","1,473.55","","0.01%"
"2025- 12- 18","1,475.56","1,474.97","1,479.77","1,471.99","","0.01%"
"2025- 12- 17","1,475.35","1,472.62","1,482.45","1,471.62","","0.16%"
"2025- 12- 16","1,473.03","1,468.70","1,477.70","1,467.85","","0.29%"
"2025- 12- 15","1,468.77","1,474.52","1,477.90","1,462.99","","-0.42%"
"2025- 12- 12","1,474.91","1,471.28","1,479.70","1,469.41","","0.25%"
"2025- 12- 11","1,471.27","1,469.06","1,474.55","1,463.83","","0.15%"
"2025- 12- 10","1,469.03","1,469.43","1,472.72","1,463.73","","-0.04%"
"2025- 12- 09","1,469.64","1,469.57","1,472.60","1,465.66","","0.00%"
"2025- 12- 08","1,469.61","1,472.65","1,473.86","1,465.30","","-0.28%"
"2025- 12- 05","1,473.81","1,474.66","1,475.15","1,467.80","","-0.06%"
"2025- 12- 04","1,474.63","1,466.10","1,474.91","1,464.50","","0.58%"
"2025- 12- 03","1,466.08","1,468.41","1,471.40","1,463.30","","-0.16%"
"2025- 12- 02","1,468.45","1,471.52","1,473.40","1,466.33","","-0.22%"
"2025- 12- 01","1,471.68","1,466.30","1,473.49","1,464.81","","0.28%"
"2025- 11- 28","1,467.62","1,460.08","1,473.43","1,460.08","","0.36%"
"2025- 11- 27","1,462.29","1,471.41","1,472.55","1,460.51","","-0.62%"
"2025- 11- 26","1,471.44","1,465.66","1,475.95","1,456.80","","0.40%"
"2025- 11- 25","1,465.58","1,476.03","1,476.90","1,463.68","","-0.62%"
"2025- 11- 24","1,474.67","1,469.74","1,480.59","1,468.55","","0.34%"
"2025- 11- 21","1,469.73","1,474.34","1,478.06","1,468.91","","-0.31%"
"2025- 11- 20","1,474.33","1,467.01","1,476.22","1,465.65","","0.49%"
"2025- 11- 19","1,467.10","1,459.38","1,470.12","1,457.07","","0.53%"
"2025- 11- 18","1,459.39","1,462.28","1,468.55","1,458.35","","-0.20%"
"2025- 11- 17","1,462.28","1,448.21","1,463.15","1,448.21","","0.95%"
"2025- 11- 14","1,448.53","1,468.69","1,474.75","1,447.50","","-1.51%"
"2025- 11- 13","1,470.70","1,467.14","1,475.45","1,461.19","","0.09%"
"2025- 11- 12","1,469.36","1,460.84","1,470.18","1,459.35","","0.58%"
"2025- 11- 11","1,460.82","1,456.47","1,467.85","1,455.15","","0.27%"
"2025- 11- 10","1,456.90","1,456.00","1,458.40","1,450.35","","0.06%"
"2025- 11- 07","1,456.00","1,448.85","1,462.72","1,446.80","","0.49%"
"2025- 11- 06","1,448.90","1,440.73","1,452.23","1,440.71","","0.57%"
"2025- 11- 05","1,440.72","1,441.58","1,449.85","1,439.69","","-0.21%"
"2025- 11- 04","1,443.79","1,429.97","1,444.12","1,429.96","","0.97%"
"2025- 11- 03","1,429.96","1,429.62","1,434.08","1,425.80","","0.05%"
"2025- 10- 31","1,429.22","1,429.77","1,432.31","1,423.98","","-0.01%"
"2025- 10- 30","1,429.37","1,426.41","1,435.07","1,419.10","","0.22%"
"2025- 10- 29","1,426.25","1,431.54","1,435.90","1,418.58","","-0.37%"
"2025- 10- 28","1,431.58","1,429.45","1,439.50","1,429.42","","0.14%"
"2025- 10- 27","1,429.55","1,438.98","1,438.99","1,428.83","","-0.65%"
"2025- 10- 24","1,438.97","1,436.82","1,440.37","1,433.56","","0.15%"
"2025- 10- 23","1,436.85","1,432.11","1,441.60","1,429.95","","0.34%"
"2025- 10- 22","1,432.01","1,431.26","1,433.72","1,428.00","","0.05%"
"2025- 10- 21","1,431.29","1,419.83","1,433.59","1,419.60","","0.71%"
"2025- 10- 20","1,421.18","1,421.74","1,424.13","1,417.05","","-0.04%"
"2025- 10- 17","1,421.74","1,416.86","1,427.23","1,416.40","","0.34%"
"2025- 10- 16","1,416.86","1,421.99","1,423.12","1,414.35","","-0.31%"
"2025- 10- 15","1,421.29","1,428.78","1,430.44","1,418.89","","-0.52%"
"2025- 10- 14","1,428.77","1,426.71","1,435.60","1,425.08","","0.16%"
"2025- 10- 13","1,426.50","1,429.55","1,432.40","1,423.67","","-0.21%"
"2025- 10- 10","1,429.55","1,420.99","1,430.32","1,418.30","","0.47%"
"2025- 10- 09","1,422.89","1,421.52","1,426.70","1,417.53","","0.10%"
"2025- 10- 08","1,421.51","1,416.50","1,427.88","1,414.20","","0.39%"
"2025- 10- 07","1,416.04","1,410.69","1,416.64","1,408.11","","0.38%"
"2025- 10- 06","1,410.69","1,405.06","1,415.09","1,405.00","","0.22%"
"2025- 10- 03","1,407.57","1,405.83","1,409.80","1,404.57","","0.11%"
"2025- 10- 02","1,406.03","1,402.61","1,408.78","1,399.46","","0.23%"
"2025- 10- 01","1,402.80","1,404.20","1,409.55","1,400.95","","-0.10%"
"2025- 09- 30","1,404.14","1,397.60","1,406.77","1,397.60","","0.29%"
"2025- 09- 29","1,400.04","1,409.71","1,410.55","1,398.23","","-0.69%"
"2025- 09- 26","1,409.70","1,409.07","1,414.47","1,408.22","","0.04%"
"2025- 09- 25","1,409.14","1,404.67","1,411.62","1,398.70","","0.30%"
"2025- 09- 24","1,404.97","1,394.43","1,407.15","1,391.29","","0.76%"
"2025- 09- 23","1,394.37","1,391.15","1,396.84","1,389.74","","0.24%"
"2025- 09- 22","1,391.05","1,397.22","1,399.05","1,389.76","","-0.44%"
"2025- 09- 19","1,397.21","1,388.24","1,399.80","1,387.50","","0.65%"
"2025- 09- 18","1,388.22","1,380.72","1,391.21","1,378.64","","0.54%"
"2025- 09- 17","1,380.71","1,378.84","1,382.53","1,371.94","","0.14%"
"2025- 09- 16","1,378.80","1,385.16","1,388.67","1,378.19","","-0.46%"
"2025- 09- 15","1,385.13","1,392.82","1,394.82","1,384.32","","-0.57%"
"2025- 09- 12","1,393.03","1,390.52","1,395.50","1,386.61","","0.24%"
"2025- 09- 11","1,389.66","1,389.35","1,393.86","1,386.43","","0.02%"
"2025- 09- 10","1,389.34","1,389.26","1,390.40","1,385.72","","0.01%"
"2025- 09- 09","1,389.25","1,386.49","1,389.98","1,383.49","","0.29%"
"2025- 09- 08","1,385.28","1,386.47","1,393.70","1,385.00","","-0.08%"
"2025- 09- 05","1,386.42","1,394.00","1,394.14","1,383.45","","-0.51%"
"2025- 09- 04","1,393.52","1,389.55","1,395.97","1,388.09","","0.22%"
"2025- 09- 03","1,390.42","1,395.79","1,396.70","1,387.52","","-0.39%"
"2025- 09- 02","1,395.80","1,393.04","1,398.96","1,389.25","","0.20%"
"2025- 09- 01","1,393.05","1,388.97","1,395.82","1,388.70","","0.29%"
"2025- 08- 29","1,388.97","1,383.03","1,395.32","1,381.89","","0.25%"
"2025- 08- 28","1,385.55","1,393.99","1,394.06","1,383.51","","-0.56%"
"2025- 08- 27","1,393.30","1,395.07","1,399.62","1,392.51","","-0.13%"
"2025- 08- 26","1,395.08","1,390.58","1,399.31","1,386.95","","0.32%"
"2025- 08- 25","1,390.57","1,384.20","1,391.78","1,383.57","","0.46%"
"2025- 08- 22","1,384.20","1,399.60","1,401.66","1,379.55","","-1.21%"
"2025- 08- 21","1,401.19","1,397.91","1,403.85","1,395.95","","0.24%"
"2025- 08- 20","1,397.88","1,393.28","1,399.95","1,391.58","","0.33%"
"2025- 08- 19","1,393.26","1,388.90","1,394.44","1,387.30","","0.32%"
"2025- 08- 18","1,388.88","1,388.98","1,389.78","1,382.74","","-0.01%"
"2025- 08- 15","1,388.97","1,389.01","1,391.71","1,386.66","","0.00%"
"2025- 08- 14","1,388.95","1,379.81","1,392.02","1,378.15","","0.66%"
"2025- 08- 13","1,379.80","1,384.18","1,386.63","1,374.92","","-0.32%"
"2025- 08- 12","1,384.17","1,390.68","1,393.47","1,383.25","","-0.48%"
"2025- 08- 11","1,390.86","1,388.80","1,395.17","1,385.31","","0.15%"
"2025- 08- 08","1,388.83","1,383.41","1,392.43","1,379.35","","0.37%"
"2025- 08- 07","1,383.70","1,384.81","1,388.60","1,378.16","","-0.07%"
"2025- 08- 06","1,384.67","1,386.48","1,391.80","1,383.82","","-0.15%"
"2025- 08- 05","1,386.79","1,385.59","1,393.74","1,382.10","","0.09%"
"2025- 08- 04","1,385.57","1,389.04","1,391.18","1,380.42","","-0.25%"
"2025- 08- 01","1,389.03","1,392.93","1,406.77","1,383.50","","-0.25%"
"2025- 07- 31","1,392.47","1,393.18","1,398.87","1,385.79","","-0.05%"
"2025- 07- 30","1,393.18","1,388.36","1,395.97","1,378.10","","0.35%"
"2025- 07- 29","1,388.39","1,389.93","1,396.49","1,386.39","","-0.09%"
"2025- 07- 28","1,389.58","1,383.49","1,390.82","1,377.68","","0.43%"
"2025- 07- 25","1,383.64","1,370.08","1,384.99","1,370.08","","0.78%"
"2025- 07- 24","1,372.88","1,372.37","1,375.30","1,365.06","","-0.15%"
"2025- 07- 23","1,374.88","1,378.30","1,382.75","1,374.18","","-0.43%"
"2025- 07- 22","1,380.77","1,382.80","1,389.51","1,379.68","","-0.15%"
"2025- 07- 21","1,382.80","1,391.21","1,393.33","1,380.95","","-0.60%"
"2025- 07- 18","1,391.20","1,391.97","1,394.65","1,386.41","","-0.06%"
"2025- 07- 17","1,391.99","1,385.36","1,396.95","1,385.09","","0.34%"
"2025- 07- 16","1,387.27","1,386.47","1,395.00","1,383.73","","0.05%"
"2025- 07- 15","1,386.53","1,382.49","1,388.80","1,376.28","","0.29%"
"2025- 07- 14","1,382.52","1,379.17","1,384.35","1,375.65","","0.24%"
"2025- 07- 11","1,379.16","1,372.02","1,380.03","1,370.60","","0.54%"
"2025- 07- 10","1,371.73","1,374.07","1,376.85","1,370.10","","-0.17%"
"2025- 07- 09","1,374.07","1,370.31","1,379.17","1,370.31","","0.29%"
"2025- 07- 08","1,370.15","1,376.02","1,376.18","1,364.95","","-0.40%"
"2025- 07- 07","1,375.59","1,361.16","1,380.24","1,361.16","","0.96%"
"2025- 07- 04","1,362.52","1,363.43","1,367.30","1,358.16","","-0.07%"
"2025- 07- 03","1,363.50","1,356.38","1,369.75","1,352.46","","0.54%"
"2025- 07- 02","1,356.19","1,356.44","1,364.01","1,353.12","","-0.02%"
"2025- 07- 01","1,356.51","1,352.78","1,359.76","1,348.55","","0.28%"
"2025- 06- 30","1,352.74","1,364.59","1,364.60","1,347.07","","-0.87%"
"2025- 06- 27","1,364.58","1,357.89","1,365.92","1,353.34","","0.49%"
"2025- 06- 26","1,357.87","1,359.25","1,361.40","1,351.70","","-0.10%"
"2025- 06- 25","1,359.26","1,359.02","1,366.99","1,354.12","","0.01%"
"2025- 06- 24","1,359.06","1,371.11","1,372.05","1,356.33","","-0.89%"
"2025- 06- 23","1,371.20","1,373.19","1,391.48","1,370.11","","-0.14%"
"2025- 06- 20","1,373.18","1,376.78","1,380.62","1,364.42","","-0.26%"
"2025- 06- 19","1,376.71","1,375.94","1,386.41","1,370.19","","0.04%"
"2025- 06- 18","1,376.13","1,381.67","1,381.86","1,368.85","","-0.40%"
"2025- 06- 17","1,381.67","1,359.23","1,382.14","1,354.41","","1.64%"
"2025- 06- 16","1,359.43","1,367.00","1,368.80","1,352.45","","-0.54%"
"2025- 06- 13","1,366.85","1,355.27","1,374.15","1,353.29","","0.86%"
"2025- 06- 12","1,355.17","1,369.89","1,371.73","1,351.03","","-1.09%"
"2025- 06- 11","1,370.17","1,366.16","1,376.01","1,362.05","","0.29%"
"2025- 06- 10","1,366.22","1,354.33","1,369.44","1,350.90","","0.88%"
"2025- 06- 09","1,354.33","1,360.18","1,364.59","1,351.62","","-0.43%"
"2025- 06- 06","1,360.18","1,355.54","1,362.51","1,353.11","","0.34%"
"2025- 06- 05","1,355.54","1,362.05","1,365.20","1,351.31","","-0.48%"
"2025- 06- 04","1,362.05","1,378.71","1,379.22","1,361.25","","-1.21%"
"2025- 06- 03","1,378.71","1,377.04","1,380.74","1,373.30","","0.12%"
"2025- 06- 02","1,377.05","1,382.99","1,383.74","1,371.01","","-0.43%"
"2025- 05- 30","1,382.99","1,371.39","1,384.13","1,368.19","","0.85%"
"2025- 05- 29","1,371.39","1,374.60","1,385.99","1,368.97","","-0.23%"
"2025- 05- 28","1,374.59","1,375.80","1,378.54","1,368.61","","-0.09%"
"2025- 05- 27","1,375.80","1,369.44","1,377.59","1,364.24","","0.46%"
"2025- 05- 26","1,369.44","1,365.72","1,372.23","1,359.86","","0.27%"
"2025- 05- 23","1,365.72","1,382.23","1,384.33","1,363.41","","-1.19%"
"2025- 05- 22","1,382.23","1,374.83","1,386.86","1,372.82","","0.54%"
"2025- 05- 21","1,374.83","1,393.73","1,394.46","1,367.25","","-1.36%"
"2025- 05- 20","1,393.72","1,389.55","1,397.30","1,388.38","","0.30%"
"2025- 05- 19","1,389.55","1,399.13","1,401.65","1,386.71","","-0.68%"
"2025- 05- 16","1,399.13","1,397.99","1,403.53","1,387.04","","0.08%"
"2025- 05- 15","1,397.99","1,408.31","1,412.85","1,389.43","","-0.73%"
"2025- 05- 14","1,408.31","1,416.99","1,422.68","1,389.07","","-0.61%"
"2025- 05- 13","1,416.99","1,417.03","1,429.13","1,407.50","","0.00%"
"2025- 05- 12","1,417.03","1,396.16","1,425.56","1,392.13","","1.49%"
"2025- 05- 09","1,396.16","1,404.82","1,415.75","1,394.36","","-0.62%"
"2025- 05- 08","1,404.82","1,398.39","1,406.96","1,391.75","","0.46%"
"2025- 05- 07","1,398.38","1,375.79","1,402.91","1,375.28","","1.64%"
"2025- 05- 06","1,375.79","1,375.37","1,390.89","1,373.12","","0.03%"
"2025- 05- 05","1,375.36","1,399.90","1,400.45","1,365.00","","-1.75%"
"2025- 05- 02","1,399.90","1,436.09","1,439.95","1,390.83","","-2.52%"
"2025- 05- 01","1,436.09","1,424.69","1,439.11","1,422.21","","0.80%"
"2025- 04- 30","1,424.69","1,432.14","1,434.26","1,419.13","","-0.52%"
"2025- 04- 29","1,432.14","1,436.85","1,442.02","1,430.84","","-0.33%"
"2025- 04- 28","1,436.84","1,438.36","1,446.79","1,434.71","","-0.11%"
"2025- 04- 25","1,438.36","1,431.03","1,444.25","1,430.18","","0.51%"
"2025- 04- 24","1,431.04","1,427.42","1,439.94","1,425.91","","0.25%"
"2025- 04- 23","1,427.42","1,430.19","1,431.72","1,419.91","","-0.19%"
"2025- 04- 22","1,430.19","1,422.63","1,430.67","1,417.61","","0.60%"
"2025- 04- 21","1,421.63","1,421.03","1,423.50","1,414.20","","-0.13%"
"2025- 04- 18","1,423.49","1,418.95","1,426.02","1,418.25","","0.43%"
"2025- 04- 17","1,417.42","1,415.21","1,423.73","1,414.14","","0.26%"
"2025- 04- 16","1,413.71","1,427.94","1,432.74","1,412.39","","-0.91%"
"2025- 04- 15","1,426.63","1,420.41","1,431.99","1,419.20","","0.51%"
"2025- 04- 14","1,419.41","1,421.05","1,432.05","1,416.55","","-0.01%"
"2025- 04- 11","1,419.53","1,453.88","1,457.87","1,417.92","","-2.29%"
"2025- 04- 10","1,452.73","1,445.96","1,466.04","1,445.96","","0.48%"
"2025- 04- 09","1,445.80","1,487.09","1,488.32","1,444.67","","-2.69%"
"2025- 04- 08","1,485.83","1,470.91","1,487.80","1,466.16","","1.08%"
"2025- 04- 07","1,469.91","1,459.52","1,472.30","1,456.72","","0.78%"
"2025- 04- 04","1,458.51","1,451.68","1,463.27","1,430.21","","0.55%"
"2025- 04- 03","1,450.57","1,466.14","1,473.05","1,449.82","","-0.86%"
"2025- 04- 02","1,463.19","1,470.94","1,474.35","1,460.23","","-0.46%"
"2025- 04- 01","1,469.94","1,473.05","1,477.90","1,467.10","","-0.14%"
"2025- 03- 31","1,472.05","1,470.40","1,477.32","1,468.30","","0.15%"
"2025- 03- 28","1,469.87","1,464.92","1,471.58","1,462.66","","0.36%"
"2025- 03- 27","1,464.66","1,468.82","1,471.89","1,463.26","","-0.22%"
"2025- 03- 26","1,467.87","1,463.65","1,471.01","1,461.52","","0.33%"
"2025- 03- 25","1,462.98","1,467.49","1,471.16","1,463.10","","-0.27%"
"2025- 03- 24","1,466.98","1,466.10","1,470.77","1,461.85","","0.25%"
"2025- 03- 21","1,463.32","1,467.07","1,469.45","1,460.79","","-0.16%"
"2025- 03- 20","1,465.72","1,457.20","1,471.41","1,455.33","","0.34%"
"2025- 03- 19","1,460.70","1,449.61","1,463.86","1,449.10","","0.82%"
"2025- 03- 18","1,448.83","1,443.68","1,456.59","1,440.89","","0.41%"
"2025- 03- 17","1,442.95","1,451.55","1,452.43","1,442.34","","-0.53%"
"2025- 03- 14","1,450.62","1,454.54","1,458.35","1,450.96","","-0.18%"
"2025- 03- 13","1,453.23","1,451.10","1,458.04","1,448.67","","0.15%"
"2025- 03- 12","1,451.00","1,451.84","1,455.98","1,449.30","","-0.01%"
"2025- 03- 11","1,451.08","1,459.87","1,460.80","1,449.66","","-0.56%"
"2025- 03- 10","1,459.23","1,449.01","1,460.72","1,445.25","","0.71%"
"2025- 03- 07","1,449.00","1,447.00","1,450.15","1,441.29","","0.11%"
"2025- 03- 06","1,447.34","1,443.90","1,453.00","1,437.80","","0.16%"
"2025- 03- 05","1,445.00","1,454.50","1,462.65","1,443.80","","-0.56%"
"2025- 03- 04","1,453.15","1,458.94","1,463.74","1,453.24","","-0.33%"
"2025- 03- 03","1,457.94","1,461.80","1,462.72","1,455.67","","-0.23%"
"2025- 02- 28","1,461.28","1,450.86","1,464.55","1,450.55","","0.74%"
"2025- 02- 27","1,450.48","1,433.90","1,451.73","1,433.72","","1.21%"
"2025- 02- 26","1,433.20","1,432.11","1,437.37","1,429.10","","0.01%"
"2025- 02- 25","1,433.00","1,429.65","1,436.00","1,428.28","","0.31%"
"2025- 02- 24","1,428.64","1,436.10","1,437.49","1,423.97","","-0.30%"
"2025- 02- 21","1,433.00","1,432.70","1,438.35","1,431.15","","0.16%"
"2025- 02- 20","1,430.70","1,441.08","1,443.63","1,432.04","","-0.58%"
"2025- 02- 19","1,439.00","1,441.72","1,445.07","1,437.31","","-0.12%"
"2025- 02- 18","1,440.71","1,442.29","1,447.45","1,437.92","","-0.04%"
"2025- 02- 17","1,441.28","1,440.95","1,445.71","1,438.79","","0.13%"
"2025- 02- 14","1,439.43","1,441.69","1,446.70","1,436.74","","0.01%"
"2025- 02- 13","1,439.33","1,451.74","1,456.15","1,440.15","","-0.79%"
"2025- 02- 12","1,450.74","1,452.86","1,459.62","1,449.24","","-0.01%"
"2025- 02- 11","1,450.86","1,451.55","1,456.40","1,449.52","","0.02%"
"2025- 02- 10","1,450.55","1,455.36","1,457.05","1,449.01","","-0.20%"
"2025- 02- 07","1,453.44","1,446.48","1,457.57","1,442.18","","0.55%"
"2025- 02- 06","1,445.55","1,445.30","1,452.20","1,443.07","","0.12%"
"2025- 02- 05","1,443.76","1,453.53","1,457.72","1,441.93","","-0.60%"
"2025- 02- 04","1,452.53","1,460.91","1,468.23","1,448.60","","-0.41%"
"2025- 02- 03","1,458.57","1,462.98","1,473.50","1,458.49","","0.20%"
"2025- 01- 31","1,455.70","1,445.57","1,458.16","1,442.50","","0.84%"
"2025- 01- 30","1,443.57","1,443.64","1,445.85","1,439.39","","0.13%"
"2025- 01- 29","1,441.66","1,447.37","1,449.69","1,439.30","","-0.26%"
"2025- 01- 28","1,445.37","1,435.71","1,450.69","1,433.81","","0.87%"
